customer_id,name,total_orders,orders_with_valid_products,total_revenue,average_order_value
C0154,Customer 154,5,5,118418.2,23683.64
C0066,Customer 66,11,7,117985.15,16855.02
C0005,Customer 5,9,5,117964.35,23592.87
C0069,Customer 69,7,5,117661.0,23532.2
C0072,Customer 72,13,11,116636.4,10603.31
C0095,Customer 95,8,7,116559.0,16651.29
C0153,Customer 153,10,8,115708.85,14463.61
C0344,Customer 344,8,7,115566.7,16509.53
C0214,Customer 214,6,6,115444.2,19240.7
C0044,Customer 44,13,9,114316.7,12701.86
C0048,Customer 48,8,6,114195.2,19032.53
C0112,Customer 112,7,7,114088.9,16298.41
C0106,Customer 106,11,7,113858.35,16265.48
C0195,Customer 195,7,7,113822.4,16260.34
C0011,Customer 11,13,9,113806.15,12645.13
C0030,Customer 30,8,7,113354.1,16193.44
C0298,Customer 298,8,7,111959.55,15994.22
C0196,Customer 196,9,6,111411.1,18568.52
C0014,Customer 14,12,10,111250.0,11125.0
C0065,Customer 65,8,6,107839.45,17973.24
C0190,Customer 190,9,7,106217.35,15173.91
C0144,Customer 144,10,7,105416.25,15059.46
C0114,Customer 114,12,6,105034.4,17505.73
C0170,Customer 170,9,9,105020.1,11668.9
C0067,Customer 67,8,5,104983.7,20996.74
C0205,Customer 205,11,9,104530.5,11614.5
C0143,Customer 143,12,8,104355.3,13044.41
C0233,Customer 233,7,6,104029.6,17338.27
C0263,Customer 263,5,5,103291.6,20658.32
C0037,Customer 37,9,6,102688.6,17114.77
C0242,Customer 242,7,7,102299.75,14614.25
C0185,Customer 185,7,6,102093.05,17015.51
C0232,Customer 232,7,5,101905.9,20381.18
C0027,Customer 27,7,5,101665.45,20333.09
C0215,Customer 215,7,5,100979.05,20195.81
C0243,Customer 243,8,7,100595.6,14370.8
C0125,Customer 125,8,5,100195.15,20039.03
C0124,Customer 124,8,6,100027.55,16671.26
C0123,Customer 123,8,6,99982.65,16663.77
C0107,Customer 107,8,6,99249.05,16541.51
C0024,Customer 24,10,8,98666.2,12333.27
C0192,Customer 192,11,6,98637.4,16439.57
C0001,Customer 1,6,5,95846.65,19169.33
C0061,Customer 61,7,5,95652.15,19130.43
C0019,Customer 19,10,8,95387.0,11923.38
C0077,Customer 77,10,8,95303.0,11912.88
C0188,Customer 188,10,9,95231.35,10581.26
C0129,Customer 129,11,6,94576.05,15762.68
C0177,Customer 177,6,4,93712.2,23428.05
C0033,Customer 33,10,6,93657.85,15609.64
C0163,Customer 163,10,6,93636.8,15606.13
C0073,Customer 73,10,7,93421.55,13345.94
C0032,Customer 32,8,6,93231.0,15538.5
C0389,Customer 389,4,4,93189.2,23297.3
C0187,Customer 187,5,5,93068.3,18613.66
C0267,Customer 267,7,6,92991.8,15498.63
C0181,Customer 181,8,6,92733.85,15455.64
C0134,Customer 134,8,6,92548.4,15424.73
C0189,Customer 189,6,4,92485.1,23121.27
C0004,Customer 4,8,7,91177.6,13025.37
C0227,Customer 227,6,5,91120.85,18224.17
C0136,Customer 136,13,7,91097.55,13013.94
C0039,Customer 39,9,5,91028.25,18205.65
C0183,Customer 183,7,5,90629.4,18125.88
C0269,Customer 269,6,5,90521.0,18104.2
C0271,Customer 271,9,6,89370.3,14895.05
C0103,Customer 103,8,6,88965.3,14827.55
C0018,Customer 18,7,4,88492.6,22123.15
C0255,Customer 255,5,4,88266.15,22066.54
C0082,Customer 82,5,4,88167.55,22041.89
C0249,Customer 249,9,8,88139.95,11017.49
C0093,Customer 93,8,6,87853.2,14642.2
C0256,Customer 256,7,6,87523.55,14587.26
C0104,Customer 104,9,7,87010.9,12430.13
C0384,Customer 384,3,3,86876.6,28958.87
C0252,Customer 252,6,4,86875.7,21718.92
C0062,Customer 62,7,7,86773.1,12396.16
C0121,Customer 121,6,6,86526.6,14421.1
C0201,Customer 201,6,5,86340.8,17268.16
C0126,Customer 126,9,5,86211.55,17242.31
C0309,Customer 309,6,4,86176.0,21544.0
C0275,Customer 275,7,6,85406.3,14234.38
C0043,Customer 43,9,6,85359.15,14226.53
C0295,Customer 295,5,4,85159.5,21289.88
C0254,Customer 254,4,4,84175.0,21043.75
C0240,Customer 240,5,4,83698.4,20924.6
C0088,Customer 88,6,5,83671.4,16734.28
C0013,Customer 13,8,6,83527.8,13921.3
C0211,Customer 211,9,5,83193.35,16638.67
C0054,Customer 54,11,6,82795.0,13799.17
C0045,Customer 45,7,6,82533.95,13755.66
C0212,Customer 212,4,4,82211.4,20552.85
C0246,Customer 246,5,5,81175.0,16235.0
C0171,Customer 171,5,4,80477.9,20119.47
C0050,Customer 50,8,6,79662.45,13277.07
C0157,Customer 157,6,6,79601.5,13266.92
C0099,Customer 99,7,4,79567.5,19891.88
C0369,Customer 369,4,3,78950.4,26316.8
C0146,Customer 146,6,6,78829.4,13138.23
C0020,Customer 20,11,8,78166.65,9770.83
C0308,Customer 308,10,7,77711.25,11101.61
C0149,Customer 149,9,6,77608.7,12934.78
C0053,Customer 53,6,5,77507.6,15501.52
C0175,Customer 175,6,5,77361.1,15472.22
C0257,Customer 257,9,6,77302.7,12883.78
C0336,Customer 336,5,5,76920.6,15384.12
C0251,Customer 251,9,6,76885.1,12814.18
C0343,Customer 343,5,5,76672.15,15334.43
C0228,Customer 228,7,5,76605.0,15321.0
C0076,Customer 76,8,6,76058.5,12676.42
C0006,Customer 6,6,4,75889.05,18972.26
C0304,Customer 304,6,6,74905.6,12484.27
C0036,Customer 36,5,5,74689.6,14937.92
C0328,Customer 328,5,5,74603.05,14920.61
C0365,Customer 365,5,4,73841.65,18460.41
C0102,Customer 102,10,5,73811.25,14762.25
C0016,Customer 16,6,5,73809.05,14761.81
C0270,Customer 270,4,4,73534.6,18383.65
C0012,Customer 12,9,7,73343.75,10477.68
C0220,Customer 220,7,7,73329.25,10475.61
C0094,Customer 94,13,9,73177.0,8130.78
C0376,Customer 376,7,5,73121.6,14624.32
C0184,Customer 184,5,5,72623.2,14524.64
C0285,Customer 285,8,5,72135.3,14427.06
C0302,Customer 302,6,4,72090.7,18022.67
C0141,Customer 141,6,6,71892.85,11982.14
C0375,Customer 375,7,4,71870.4,17967.6
C0316,Customer 316,7,6,71187.45,11864.57
C0100,Customer 100,5,4,71186.1,17796.53
C0165,Customer 165,6,3,71090.8,23696.93
C0023,Customer 23,10,5,71076.1,14215.22
C0158,Customer 158,6,5,70351.3,14070.26
C0064,Customer 64,5,4,70032.0,17508.0
C0225,Customer 225,5,4,69797.05,17449.26
C0447,Customer 447,4,3,69417.15,23139.05
C0397,Customer 397,4,4,69298.0,17324.5
C0148,Customer 148,6,5,69102.1,13820.42
C0117,Customer 117,11,6,68888.9,11481.48
C0151,Customer 151,6,4,68746.95,17186.74
C0180,Customer 180,5,4,68647.05,17161.76
C0155,Customer 155,4,4,68289.6,17072.4
C0303,Customer 303,4,4,67571.4,16892.85
C0131,Customer 131,5,4,67555.2,16888.8
C0182,Customer 182,7,4,67223.25,16805.81
C0218,Customer 218,5,4,66928.55,16732.14
C0109,Customer 109,11,6,65319.6,10886.6
C0395,Customer 395,5,3,64963.95,21654.65
C0385,Customer 385,4,4,64784.5,16196.13
C0085,Customer 85,8,5,64382.0,12876.4
C0206,Customer 206,6,3,64046.5,21348.83
C0474,Customer 474,4,3,63695.2,21231.73
C0081,Customer 81,7,6,63651.7,10608.62
C0159,Customer 159,4,4,63363.25,15840.81
C0056,Customer 56,10,7,63313.95,9044.85
C0110,Customer 110,7,5,62666.0,12533.2
C0074,Customer 74,9,8,62500.8,7812.6
C0357,Customer 357,4,3,62061.6,20687.2
C0135,Customer 135,5,3,60701.3,20233.77
C0111,Customer 111,9,5,60280.2,12056.04
C0021,Customer 21,6,5,60248.5,12049.7
C0176,Customer 176,7,4,60160.0,15040.0
C0277,Customer 277,3,3,60114.9,20038.3
C0445,Customer 445,4,4,59788.3,14947.08
C0260,Customer 260,5,4,59689.9,14922.48
C0323,Customer 323,5,3,59648.0,19882.67
C0370,Customer 370,4,4,59445.45,14861.36
C0435,Customer 435,4,4,59247.4,14811.85
C0274,Customer 274,3,2,59116.6,29558.3
C0338,Customer 338,7,5,59025.2,11805.04
C0330,Customer 330,5,4,58978.1,14744.52
C0203,Customer 203,5,4,58607.35,14651.84
C0229,Customer 229,6,5,57944.15,11588.83
C0430,Customer 430,3,3,57637.4,19212.47
C0288,Customer 288,4,3,57615.0,19205.0
C0208,Customer 208,5,3,57300.0,19100.0
C0101,Customer 101,4,3,57195.6,19065.2
C0239,Customer 239,7,6,57120.0,9520.0
C0200,Customer 200,7,6,57094.5,9515.75
C0057,Customer 57,9,5,56311.0,11262.2
C0097,Customer 97,8,5,56260.25,11252.05
C0454,Customer 454,4,3,56258.7,18752.9
C0276,Customer 276,6,4,56134.25,14033.56
C0408,Customer 408,3,3,56077.2,18692.4
C0265,Customer 265,6,5,55633.4,11126.68
C0250,Customer 250,7,4,55283.2,13820.8
C0040,Customer 40,6,6,55223.3,9203.88
C0132,Customer 132,10,4,55196.5,13799.13
C0486,Customer 486,3,2,55170.8,27585.4
C0463,Customer 463,3,2,55008.0,27504.0
C0128,Customer 128,8,6,55004.1,9167.35
C0363,Customer 363,4,3,54459.0,18153.0
C0083,Customer 83,6,4,54415.2,13603.8
C0400,Customer 400,4,4,53842.8,13460.7
C0387,Customer 387,4,4,53056.3,13264.08
C0245,Customer 245,6,3,52849.8,17616.6
C0219,Customer 219,4,4,52768.95,13192.24
C0310,Customer 310,4,3,52247.7,17415.9
C0197,Customer 197,5,4,51408.3,12852.08
C0207,Customer 207,6,3,51158.2,17052.73
C0353,Customer 353,4,2,50895.4,25447.7
C0360,Customer 360,5,4,50769.8,12692.45
C0156,Customer 156,4,3,50723.4,16907.8
C0322,Customer 322,3,2,50566.8,25283.4
C0221,Customer 221,6,3,50533.8,16844.6
C0086,Customer 86,6,3,50491.25,16830.42
C0419,Customer 419,5,3,50238.6,16746.2
C0407,Customer 407,6,3,50128.25,16709.42
C0120,Customer 120,7,4,50083.2,12520.8
C0279,Customer 279,7,5,50057.9,10011.58
C0213,Customer 213,5,5,49821.3,9964.26
C0311,Customer 311,7,5,49631.35,9926.27
C0186,Customer 186,2,2,49519.35,24759.67
C0096,Customer 96,9,5,49421.7,9884.34
C0089,Customer 89,7,3,48999.9,16333.3
C0051,Customer 51,7,4,48858.9,12214.73
C0247,Customer 247,4,4,47912.65,11978.16
C0041,Customer 41,6,3,47768.0,15922.67
C0307,Customer 307,4,2,47358.9,23679.45
C0361,Customer 361,7,4,47092.35,11773.09
C0160,Customer 160,7,4,47082.75,11770.69
C0333,Customer 333,3,2,47034.4,23517.2
C0281,Customer 281,3,3,46528.4,15509.47
C0078,Customer 78,4,3,46509.0,15503.0
C0500,Customer 500,4,4,45954.6,11488.65
C0398,Customer 398,4,4,45732.9,11433.23
C0115,Customer 115,6,3,45657.5,15219.17
C0377,Customer 377,4,4,45259.3,11314.83
C0268,Customer 268,7,4,44795.5,11198.88
C0119,Customer 119,5,4,44563.15,11140.79
C0216,Customer 216,5,3,44395.7,14798.57
C0420,Customer 420,3,3,44359.1,14786.37
C0418,Customer 418,4,3,44162.9,14720.97
C0209,Customer 209,4,2,44143.2,22071.6
C0287,Customer 287,4,2,43775.85,21887.92
C0060,Customer 60,8,5,43732.8,8746.56
C0346,Customer 346,5,3,43470.0,14490.0
C0352,Customer 352,3,2,43397.7,21698.85
C0234,Customer 234,4,4,43123.35,10780.84
C0179,Customer 179,7,5,43034.4,8606.88
C0244,Customer 244,7,5,42779.45,8555.89
C0168,Customer 168,6,4,42242.6,10560.65
C0332,Customer 332,6,4,42239.8,10559.95
C0296,Customer 296,4,2,42214.2,21107.1
C0278,Customer 278,7,5,42021.8,8404.36
C0354,Customer 354,4,3,41639.2,13879.73
C0226,Customer 226,5,4,41638.3,10409.58
C0345,Customer 345,4,3,41409.0,13803.0
C0169,Customer 169,5,4,41386.4,10346.6
C0449,Customer 449,2,2,41198.0,20599.0
C0327,Customer 327,3,3,40950.95,13650.32
C0231,Customer 231,5,4,40800.1,10200.02
C0235,Customer 235,4,2,40585.3,20292.65
C0092,Customer 92,6,3,40255.8,13418.6
C0394,Customer 394,2,2,40021.2,20010.6
C0167,Customer 167,7,3,40013.2,13337.73
C0147,Customer 147,6,2,39836.2,19918.1
C0202,Customer 202,8,4,39697.85,9924.46
C0424,Customer 424,3,2,39638.4,19819.2
C0324,Customer 324,6,3,39612.1,13204.03
C0404,Customer 404,2,2,39490.2,19745.1
C0259,Customer 259,5,2,39340.6,19670.3
C0319,Customer 319,4,2,38697.45,19348.72
C0414,Customer 414,3,3,38688.6,12896.2
C0108,Customer 108,3,2,38650.8,19325.4
C0331,Customer 331,3,3,38630.1,12876.7
C0416,Customer 416,5,3,38568.1,12856.03
C0164,Customer 164,6,3,38495.2,12831.73
C0199,Customer 199,6,4,37780.35,9445.09
C0378,Customer 378,6,3,37345.45,12448.48
C0193,Customer 193,5,4,37016.95,9254.24
C0390,Customer 390,3,2,37001.7,18500.85
C0412,Customer 412,4,2,36968.3,18484.15
C0425,Customer 425,2,2,36954.0,18477.0
C0090,Customer 90,3,2,36842.1,18421.05
C0436,Customer 436,2,2,36725.6,18362.8
C0253,Customer 253,8,4,36484.9,9121.23
C0356,Customer 356,3,2,36443.0,18221.5
C0236,Customer 236,7,4,36083.1,9020.77
C0320,Customer 320,5,3,36028.1,12009.37
C0282,Customer 282,3,1,36024.0,36024.0
C0494,Customer 494,1,1,35748.0,35748.0
C0364,Customer 364,5,4,35697.7,8924.42
C0224,Customer 224,5,3,35643.0,11881.0
C0299,Customer 299,3,3,35434.95,11811.65
C0342,Customer 342,2,2,35170.8,17585.4
C0305,Customer 305,3,2,35165.8,17582.9
C0482,Customer 482,1,1,34660.0,34660.0
C0238,Customer 238,2,2,34618.8,17309.4
C0411,Customer 411,3,3,34463.2,11487.73
C0334,Customer 334,4,2,34400.4,17200.2
C0382,Customer 382,3,3,34181.6,11393.87
C0314,Customer 314,5,4,34101.4,8525.35
C0475,Customer 475,1,1,33937.2,33937.2
C0317,Customer 317,3,2,33906.6,16953.3
C0321,Customer 321,3,2,33648.0,16824.0
C0473,Customer 473,2,2,32979.2,16489.6
C0388,Customer 388,3,3,32967.05,10989.02
C0174,Customer 174,3,3,32874.6,10958.2
C0372,Customer 372,3,3,32835.2,10945.07
C0264,Customer 264,7,5,32277.7,6455.54
C0145,Customer 145,5,2,32229.6,16114.8
C0405,Customer 405,1,1,32076.0,32076.0
C0393,Customer 393,2,2,32035.6,16017.8
C0470,Customer 470,2,2,32023.1,16011.55
C0300,Customer 300,4,1,31885.2,31885.2
C0337,Customer 337,1,1,31705.0,31705.0
C0367,Customer 367,3,2,31475.25,15737.63
C0140,Customer 140,3,2,31340.95,15670.47
C0266,Customer 266,6,4,30904.7,7726.18
C0291,Customer 291,7,4,30865.0,7716.25
C0026,Customer 26,8,4,30725.4,7681.35
C0293,Customer 293,2,1,30696.4,30696.4
C0052,Customer 52,7,3,30580.8,10193.6
C0178,Customer 178,6,4,30404.45,7601.11
C0413,Customer 413,1,1,30385.8,30385.8
C0489,Customer 489,3,2,30357.9,15178.95
C0341,Customer 341,5,3,30344.85,10114.95
C0075,Customer 75,5,3,29758.8,9919.6
C0301,Customer 301,4,2,29364.8,14682.4
C0297,Customer 297,4,3,29097.1,9699.03
C0055,Customer 55,6,3,29091.8,9697.27
C0434,Customer 434,2,1,29039.6,29039.6
C0230,Customer 230,3,2,28960.0,14480.0
C0138,Customer 138,3,2,28537.8,14268.9
C0456,Customer 456,2,2,28257.7,14128.85
C0410,Customer 410,4,3,27598.35,9199.45
C0290,Customer 290,6,2,27369.45,13684.73
C0010,Customer 10,6,3,27337.8,9112.6
C0329,Customer 329,3,2,26779.05,13389.52
C0198,Customer 198,1,1,26649.0,26649.0
C0283,Customer 283,3,2,26532.0,13266.0
C0440,Customer 440,2,1,26280.0,26280.0
C0261,Customer 261,3,2,26156.55,13078.27
C0485,Customer 485,1,1,25982.8,25982.8
C0248,Customer 248,4,3,25289.3,8429.77
C0448,Customer 448,1,1,25254.8,25254.8
C0313,Customer 313,3,2,25250.4,12625.2
C0339,Customer 339,3,2,24992.0,12496.0
C0173,Customer 173,3,2,24878.5,12439.25
C0152,Customer 152,3,2,24637.6,12318.8
C0222,Customer 222,2,2,24290.1,12145.05
C0464,Customer 464,2,2,24255.7,12127.85
C0272,Customer 272,4,3,24149.25,8049.75
C0499,Customer 499,1,1,23925.6,23925.6
C0444,Customer 444,3,2,23760.8,11880.4
C0396,Customer 396,1,1,23498.1,23498.1
C0355,Customer 355,3,1,23491.2,23491.2
C0142,Customer 142,3,2,23116.05,11558.02
C0326,Customer 326,3,1,22638.0,22638.0
C0432,Customer 432,1,1,22100.0,22100.0
C0409,Customer 409,6,3,22004.55,7334.85
C0286,Customer 286,3,3,21967.2,7322.4
C0217,Customer 217,3,1,21777.0,21777.0
C0204,Customer 204,6,2,21732.0,10866.0
C0468,Customer 468,2,2,21447.9,10723.95
C0466,Customer 466,2,2,21410.65,10705.33
C0450,Customer 450,2,1,21319.2,21319.2
C0312,Customer 312,3,1,21199.2,21199.2
C0340,Customer 340,4,3,20957.1,6985.7
C0366,Customer 366,2,2,20718.8,10359.4
C0478,Customer 478,2,2,20702.4,10351.2
C0335,Customer 335,3,2,20374.2,10187.1
C0087,Customer 87,6,2,19948.5,9974.25
C0325,Customer 325,3,1,19938.0,19938.0
C0289,Customer 289,2,1,19833.6,19833.6
C0497,Customer 497,3,2,19618.0,9809.0
C0457,Customer 457,1,1,19487.1,19487.1
C0349,Customer 349,3,2,18894.8,9447.4
C0433,Customer 433,3,3,18178.7,6059.57
C0348,Customer 348,3,1,18084.6,18084.6
C0223,Customer 223,3,2,17957.5,8978.75
C0191,Customer 191,4,2,17851.85,8925.92
C0161,Customer 161,2,1,17818.2,17818.2
C0358,Customer 358,2,2,17802.8,8901.4
C0351,Customer 351,1,1,17760.0,17760.0
C0258,Customer 258,5,3,17597.0,5865.67
C0472,Customer 472,2,2,17325.6,8662.8
C0318,Customer 318,1,1,16780.8,16780.8
C0452,Customer 452,1,1,16575.0,16575.0
C0427,Customer 427,3,1,16057.35,16057.35
C0417,Customer 417,3,2,15974.4,7987.2
C0127,Customer 127,4,3,15907.9,5302.63
C0362,Customer 362,1,1,15897.6,15897.6
C0399,Customer 399,1,1,15758.6,15758.6
C0469,Customer 469,3,1,15638.4,15638.4
C0495,Customer 495,1,1,15192.9,15192.9
C0042,Customer 42,4,1,15106.0,15106.0
C0391,Customer 391,1,1,14361.3,14361.3
C0350,Customer 350,4,2,14011.6,7005.8
C0490,Customer 490,4,1,13674.8,13674.8
C0455,Customer 455,2,2,13444.6,6722.3
C0401,Customer 401,1,1,13243.95,13243.95
C0368,Customer 368,2,2,13134.9,6567.45
C0415,Customer 415,1,1,13008.0,13008.0
C0237,Customer 237,4,2,12896.8,6448.4
C0403,Customer 403,1,1,12840.1,12840.1
C0273,Customer 273,3,1,12765.6,12765.6
C0492,Customer 492,1,1,11818.95,11818.95
C0406,Customer 406,2,1,11388.0,11388.0
C0458,Customer 458,1,1,10878.3,10878.3
C0315,Customer 315,2,1,10598.4,10598.4
C0284,Customer 284,3,2,10493.6,5246.8
C0421,Customer 421,1,1,9175.1,9175.1
C0292,Customer 292,2,1,8199.45,8199.45
C0347,Customer 347,2,1,8160.0,8160.0
C0453,Customer 453,1,1,7949.7,7949.7
C0438,Customer 438,2,1,7106.4,7106.4
C0071,Customer 71,3,1,7030.0,7030.0
C0442,Customer 442,2,1,6783.0,6783.0
C0373,Customer 373,2,2,6757.2,3378.6
C0484,Customer 484,1,1,6405.85,6405.85
C0459,Customer 459,1,1,6256.0,6256.0
C0429,Customer 429,1,1,6179.0,6179.0
C0422,Customer 422,2,1,6104.7,6104.7
C0439,Customer 439,1,1,5981.4,5981.4
C0402,Customer 402,1,1,5284.85,5284.85
C0379,Customer 379,2,1,5006.7,5006.7
C0428,Customer 428,1,1,4147.0,4147.0
C0423,Customer 423,2,1,3484.0,3484.0
C0461,Customer 461,1,1,2695.15,2695.15
C0426,Customer 426,3,1,2596.75,2596.75
C0380,Customer 380,2,1,2572.95,2572.95
C0446,Customer 446,2,1,1614.4,1614.4
C0280,Customer 280,0,0,,
C0306,Customer 306,3,0,,
C0359,Customer 359,1,0,,
C0371,Customer 371,2,0,,
C0374,Customer 374,2,0,,
C0381,Customer 381,2,0,,
C0383,Customer 383,0,0,,
C0386,Customer 386,2,0,,
C0392,Customer 392,0,0,,
C0431,Customer 431,0,0,,
C0437,Customer 437,1,0,,
C0441,Customer 441,1,0,,
C0443,Customer 443,0,0,,
C0451,Customer 451,0,0,,
C0460,Customer 460,0,0,,
C0462,Customer 462,1,0,,
C0465,Customer 465,1,0,,
C0467,Customer 467,0,0,,
C0471,Customer 471,1,0,,
C0476,Customer 476,0,0,,
C0477,Customer 477,1,0,,
C0479,Customer 479,0,0,,
C0480,Customer 480,1,0,,
C0481,Customer 481,0,0,,
C0483,Customer 483,1,0,,
C0487,Customer 487,1,0,,
C0488,Customer 488,1,0,,
C0491,Customer 491,0,0,,
C0493,Customer 493,0,0,,
C0496,Customer 496,0,0,,
C0498,Customer 498,0,0,,
